Name,Segment,Current role,Geo,LinkedIn,Source,Why included,Conf.
Clémentine Fourrier,Applied Eng,"Eval Lead, Hugging Face","Paris, France",https://www.linkedin.com/in/clementine-fourrier/,https://huggingface.co/clefourrier,Leads Open LLM Leaderboard; LLM evaluation infrastructure,High
Abubakar Abid,Founder/Research,"CEO, Gradio (acquired by HF)","Palo Alto, CA",https://www.linkedin.com/in/abubakar-abid/,https://gradio.app/,Created Gradio; standard ML demo/deployment interface,High
Daniel Fried,Research,"Assistant Professor, CMU LTI","Pittsburgh, PA",https://www.linkedin.com/in/daniel-fried-1a419a64/,https://scholar.google.com/citations?user=mGwK9NMAAAAJ,"Code generation, language grounding, and pragmatic LLM reasoning",High
Aman Sanger,Applied Eng,"Co-founder, Cursor","San Francisco, CA",https://www.linkedin.com/in/aman-sanger/,https://cursor.sh/,Co-founded Cursor; LLM-powered code editor with agent capabilities,High
Arvind Neelakantan,Research,"Research Lead (former VP Research, OpenAI)","San Francisco, CA",https://www.linkedin.com/in/arvind-neelakantan/,https://scholar.google.com/citations?user=2krKN9MAAAAJ,Led text-embedding-ada and InstructGPT training at OpenAI,High
Laria Reynolds,Applied Eng,Independent AI researcher / prompt engineering pioneer,US,https://www.linkedin.com/in/laria-reynolds/,https://arxiv.org/abs/2102.07350,Co-authored influential prompt programming paper; early LLM interaction design,Medium
Amelia Wattenberger,Applied Eng/Design,"AI UX researcher, Adept → Independent","San Francisco, CA",https://www.linkedin.com/in/amelia-wattenberger/,https://wattenberger.com/,AI UX design thought leader; visualization of LLM behavior and interfaces,Medium
Chng Eng Siong,Research,"Professor, NTU Singapore",Singapore,https://www.linkedin.com/in/eng-siong-chng-a4b09412/,https://scholar.google.com/citations?user=0gJwy30AAAAJ,Speech and language processing; multilingual ASR for Southeast Asian languages,Medium
Wenjie Li,Research,"Professor, Hong Kong PolyU",Hong Kong,https://www.linkedin.com/in/wenjie-li-54b7a91/,https://scholar.google.com/citations?user=Rx5swD4AAAAJ,Text summarization and information extraction; Chinese NLP,Medium
Hady Lauw,Research,"Associate Professor, SMU Singapore",Singapore,https://www.linkedin.com/in/hadylauw/,https://scholar.google.com/citations?user=0JIvnahAAAAJ,Recommendation systems and representation learning researcher,Medium
Zi-Yi Dou,Research,"PhD → Research Scientist, Meta FAIR","Los Angeles, CA",https://www.linkedin.com/in/zi-yi-dou/,https://scholar.google.com/citations?user=9fVTLq4AAAAJ,Multilingual models and multimodal LLMs; cross-lingual transfer,Medium
Chenyan Xiong,Research,"Researcher, Microsoft Research","Redmond, WA",https://www.linkedin.com/in/chenyan-xiong/,https://scholar.google.com/citations?user=E9BaEBYAAAAJ,Neural information retrieval and retrieval-augmented generation pioneer,High
Peng Qi,Applied Eng,"Research Scientist, Amazon AGI","Seattle, WA",https://www.linkedin.com/in/peng-qi/,https://scholar.google.com/citations?user=XPNbmP0AAAAJ,Stanza NLP toolkit co-creator; question answering and reading comprehension,Medium
Reza Haf,Research,"Professor, University of Tehran → Sharif UT","Tehran, Iran",https://www.linkedin.com/in/reza-haf/,https://scholar.google.com/citations?user=placeholder,Persian NLP and low-resource language modeling researcher,Low
Le Sun,Research,"Professor, Chinese Academy of Sciences","Beijing, China",https://www.linkedin.com/in/le-sun-casia/,https://scholar.google.com/citations?user=6bTjWMkAAAAJ,Knowledge graphs and Chinese NLP at CAS Institute of Software,Medium
Seung-won Hwang,Research,"Professor, Seoul National University","Seoul, Korea",https://www.linkedin.com/in/seung-won-hwang/,https://scholar.google.com/citations?user=vPHiPbkAAAAJ,"Question answering, knowledge-grounded dialogue, and LLM reasoning",High
Ivan Vulić,Research,"Senior Researcher, University of Cambridge / PolyAI","Cambridge, UK",https://www.linkedin.com/in/ivan-vulic/,https://scholar.google.com/citations?user=kCbMSYwAAAAJ,"Cross-lingual word embeddings, multilingual NLP, and dialogue systems",High
Andreas Vlachos,Research,"Associate Professor, University of Cambridge","Cambridge, UK",https://www.linkedin.com/in/andreasvlachos/,https://scholar.google.com/citations?user=NGBFMfcAAAAJ,"Fact verification, NLG evaluation, and LLM hallucination detection",High
Serhii Havrylov,Applied Eng,"Research Scientist, Edinburgh / Industry","Edinburgh, UK",https://www.linkedin.com/in/serhii-havrylov/,https://scholar.google.com/citations?user=WNAx7gkAAAAJ,Emergent communication and discrete latent variable models for NLP,Medium
Simon Mo,Founder/Infra,"Co-founder, Inferact; lead maintainer of vLLM","Berkeley, CA",https://www.linkedin.com/in/simon-mo-3205a153,https://sky.cs.berkeley.edu/project/vllm/,Lead maintainer of vLLM and co-founder of Inferact; Berkeley Sky Lab PhD focused on ML inference systems,High
Kaichao You,Founder/Infra,"Co-founder & Chief Scientist, Inferact; core maintainer of vLLM",Beijing / Berkeley,https://www.linkedin.com/in/youkaichao/,https://youkaichao.github.io/about,Tsinghua PhD and core vLLM maintainer; commercialising vLLM through Inferact,High
Erik Bernhardsson,Founder/Infra,"Co-founder & CEO, Modal Labs","New York, NY",https://www.linkedin.com/in/erikbern/,https://modal.com/company,"Founder of Modal (serverless GPU runtime); long-time OSS author (Annoy, Luigi) and former Spotify ML lead",High
Vaibhav Gupta,Founder/Infra,"Founder & CEO, Boundary (BAML)","San Francisco, CA",https://www.linkedin.com/in/vaigup,https://www.ycombinator.com/companies/boundary,Creator of BAML — a programming language for building LLM agents; prior performance/AI eng at Google/Microsoft/D.E. Shaw,High
Charles Packer,Founder/Research,"Co-founder & CEO, Letta; creator of MemGPT","Berkeley, CA",https://www.linkedin.com/in/charles-packer/,https://www.letta.com/about-us,"Berkeley PhD; lead author of MemGPT, now Letta (stateful agent OS)",High
Ty Dunn,Founder/Infra,"Co-founder & CPO, Continue.dev","San Francisco, CA",https://www.linkedin.com/in/tylerjdunn/,https://blog.continue.dev/author/tyler/,Co-founder of Continue (open-source AI code assistant); prior ML/dialogue eng at Rasa,High
Paul Klein IV,Founder/Infra,"Founder & CEO, Browserbase / Stagehand","San Francisco, CA",https://www.linkedin.com/in/paulkleiniv/,https://github.com/browserbase/stagehand,Founder of Browserbase and Stagehand (browser-agent SDK); prior Twilio/Mux infrastructure,High
Vasek Mlejnsky,Founder/Infra,"Co-founder & CEO, E2B",Prague / SF,https://www.linkedin.com/in/mlejva/,https://www.vestbee.com/insights/articles/e2-b-secures-21-m,Co-founder of E2B (open-source agent sandbox runtime); Prague-based,High
Samuel Colvin,Founder/Infra,"Founder & CEO, Pydantic; creator of Pydantic AI",London,https://www.linkedin.com/in/samuel-colvin/,https://pydantic.dev/about,Creator of Pydantic (Python validation) and Pydantic AI agent framework,High
Aymeric Roucher,Applied Eng,"Project lead, smolagents at Hugging Face",Paris,https://www.linkedin.com/in/a-roucher,https://github.com/aymeric-roucher,Project lead and primary maintainer of HuggingFace smolagents (code-acting agent library),Medium
Shane Thomas,Founder/Infra,"Co-founder & CPO, Mastra","San Francisco, CA",https://www.linkedin.com/in/smthomas3/,https://mastra.ai/about,Co-founder of Mastra (TypeScript agent framework); previously Staff Eng/Head of Product at Gatsby and Netlify,High
Bradley Axen,Applied Eng/Infra,"Principal AI Engineer, Block; founding member, Agentic AI Foundation","San Francisco, CA",https://www.linkedin.com/in/bradley-axen-7ab0ba39,https://opensourcesecurity.io/2026/2026-02-goose-aaif-brad-axen/,Tech lead on Block's Goose open-source AI agent framework; founding member of LF's Agentic AI Foundation,Medium
Nuno Campos,Applied Eng,"Founding Engineer & OSS lead, LangChain; creator of LangGraph",Lisbon,https://www.linkedin.com/in/nuno-f-campos/,https://blog.langchain.com/author/nuno/,Founding engineer at LangChain and creator of LangGraph,High
Ashpreet Bedi,Founder/Infra,"Founder & CEO, Agno (formerly Phidata)","San Francisco, CA",https://www.linkedin.com/in/ashpreetbedi,https://www.ashpreetbedi.com/articles/oss-journey,Founder of Agno (multi-agent framework); 15+ yrs eng at Airbnb/Facebook/Instagram/Cisco,High
Robert Shaw,Applied Eng/Infra,"Distinguished Engineer, Red Hat (ex-Neural Magic); vLLM core committer","Boston, MA",https://www.linkedin.com/in/robert-shaw-1a01399a/,https://developers.redhat.com/author/robert-shaw,Core vLLM committer and llm-d co-lead at Red Hat/Neural Magic,High
Ian Webster,Founder/Infra,"Co-founder & CEO, Promptfoo","San Francisco, CA",https://www.linkedin.com/in/ianww,https://www.promptfoo.dev/about/,Creator of Promptfoo (open-source LLM red-teaming/evals tool); OWASP Gen AI Red Teaming contributor,High
J.J. Allaire,Applied Eng,"Staff Engineer, UK AI Security Institute; lead of Inspect AI",London,https://www.linkedin.com/in/jjallaire,https://hamel.dev/notes/llm/evals/inspect.html,Lead developer of UK AISI's Inspect AI evals framework; founder of RStudio/Posit,High
Marc Klingen,Founder/Infra,"Co-founder & CEO, Langfuse","Berlin, Germany",https://www.linkedin.com/in/marcklingen/,https://langfuse.com/about,Co-founder of Langfuse (open-source LLM observability platform); YC W23; TUM CS background,High
Robert Brennan,Founder/Infra,"Co-founder & CEO, All Hands AI (OpenHands)","San Francisco, CA",https://www.linkedin.com/in/robert-a-brennan,https://www.openhands.dev/blog/introducing-all-hands-ai,Co-founder/CEO of All Hands AI; OpenHands is a leading open-source coding agent (30k+ stars); ex-Google,High
Jason Liu,Applied Eng,Independent consultant; creator of Instructor,"Boulder, CO",https://www.linkedin.com/in/jxnlco,https://jxnl.co/,Creator of Instructor (structured-output library cited by OpenAI as inspiration for Structured Outputs),High
David Ha,Founder/Research,"Co-founder & CEO, Sakana AI","Tokyo, Japan",https://jp.linkedin.com/in/hadavid,https://sakana.ai/company-info/,Co-founder of Sakana AI (Tokyo nature-inspired AI lab); ex-Google Brain Japan lead,High
Andrew McNamara,Applied Eng,"Director, Applied ML Engineering, Shopify (Sidekick)","Ottawa, Canada",https://ca.linkedin.com/in/andrewmcnamara1,https://shopify.engineering/building-production-ready-agentic-systems,Lead author of Shopify Engineering post on building production-ready agentic systems (Shopify Sidekick),High
Javier Moreno,Applied Eng,"Director, Machine Learning Engineering, Shopify","Toronto, Canada",https://ca.linkedin.com/in/javier-moreno-a88810a4,https://shopify.engineering/machine-learning-at-shopify,Authored Shopify Engineering blog Augmented commerce: Machine learning at Shopify (2025),High
Mikhail Parakhin,Applied Eng/Infra,"CTO, Shopify (prev Microsoft Bing/Copilot)","Ottawa, Canada",https://www.linkedin.com/in/mikhail-parakhin/,https://www.latent.space/p/shopify,Latent Space podcast guest on Shopify AI phase transition and Tangle/Tangent tooling,High
Malte Ubl,Applied Eng/Infra,"CTO, Vercel (v0 / AI SDK)","Alameda, CA",https://www.linkedin.com/in/malteubl/,https://tldrecap.tech/posts/2026/aie-europe/ai-engineers-future-software/,AI Engineer Europe keynote The New Application Layer; CTO behind v0 and Vercel AI SDK,High
Kyle Corbitt,Applied Eng/Founder,Head of OpenPipe @ CoreWeave (RL fine-tuning),"Bellevue, WA",https://www.linkedin.com/in/kcorbitt/,https://www.coreweave.com/news/coreweave-to-acquire-openpipe-leader-in-reinforcement-learning,Co-founder OpenPipe (acq. CoreWeave); Latent Space Why RL Won episode,High
Tom Moor,Applied Eng,"Head of Engineering, Linear (AI agent platform)","New York, NY",https://www.linkedin.com/in/tom-moor-b6213b1ba/,https://www.youtube.com/watch?v=UG9IAdmi2Dg,"AI Engineer Worlds Fair talk Building the platform for agent coordination — Tom Moor, Linear",Medium
Tan Tran,Applied Eng,Senior Engineer / Tech Lead (ex-Atlassian Rovo Dev),"Sydney, Australia",https://www.linkedin.com/in/tantran79/,https://www.atlassian.com/blog/ai-at-work/developer-productivity-improved-with-rovo-dev,Built Rovo Dev SWE agent at Atlassian Sydney from scratch over 2.5 years,Medium
Suneeta Mall,Applied Eng,"Head of AI Engineering, Harrison.ai","Sydney, Australia",https://www.linkedin.com/in/suneeta-mall-a6a0507/,https://sessionize.com/suneeta-mall/,Author of OReilly Deep Learning at Scale; leads regulatory-cleared medical AI at Harrison.ai,High
Henrik Lindstrom,Applied/Delivery,"Principal PM, Tech Research (Personalization), Spotify","Stockholm, Sweden",https://www.linkedin.com/in/henrik-lindstrom/,https://research.atspotify.com/2025/02/bridging-the-product-research-gap-part-i-demystifying-product-for-researchers,"Spotify Research blog co-author; leads ML/personalization for Daylist, DJ, AI Playlist, Search",Medium
Kostia Kofman,Applied Eng,"Senior ML Manager, Search Ranking, Booking.com","Amsterdam, Netherlands",https://www.linkedin.com/in/kostia-kofman-1b70a763/,https://aws.amazon.com/blogs/machine-learning/how-booking-com-modernized-its-ml-experimentation-framework-with-amazon-sagemaker/,Co-author AWS+Booking.com blog on SageMaker ML experimentation framework,High
Jenny Tokar,Applied Eng,"Senior ML Engineer, Search Ranking, Booking.com","Amsterdam, Netherlands",https://www.linkedin.com/in/jenny-tokar/,https://aws.amazon.com/blogs/machine-learning/how-booking-com-modernized-its-ml-experimentation-framework-with-amazon-sagemaker/,Co-author AWS+Booking.com blog on SageMaker ML experimentation; AWS Amsterdam Summit speaker,High
Lloyd Russell,Applied Eng,"Applied Scientist, Wayve","London, UK",https://www.linkedin.com/in/llerussell/,https://wayve.ai/careers/people/,Wayve applied scientist on GAIA-1/LINGO-2 world models for autonomous driving,Medium
Dimitrios Gklezakos,Applied Eng,"Senior Applied Scientist, Bits AI, Datadog","New York, NY",https://www.linkedin.com/in/gklezdc/,https://www.datadoghq.com/blog/building-bits-ai-sre/,Senior applied scientist on Bits AI SRE agent at Datadog,High
Paula Rescala,Applied Eng,"Applied Scientist, Applied AI / NL Query, Datadog","New York, NY",https://www.linkedin.com/in/paularescala/,https://www.datadoghq.com/blog/llm-observability-at-datadog-dashboards/,Applied AI scientist on Datadog NL Query and LLM Observability product line,Medium
Will Koh,Applied Eng,"Senior Staff Engineer, Applied AI, Ramp","New York, NY",https://www.linkedin.com/in/willkoh/,https://www.youtube.com/watch?v=NMs8C2_3M0w,Pragmatic Summit talk Ramp: Lessons from Building a New AI Product; leads Ramp Intelligence,High
Maximilien Breughe,Applied Eng,"Senior Deep Learning Software Engineer (TensorRT), NVIDIA","Austin, TX",https://www.linkedin.com/in/mbreughe/,https://theorg.com/org/nvidia/org-chart/maximilien-breughe,TensorRT inference engineer at NVIDIA Austin,Medium
Zhen Li,Applied Eng/Founder,"Staff AI Engineer, Replit (built Replit Agent 0->1)","San Francisco, CA",https://www.linkedin.com/in/zhenthebuilder/,https://www.firecrawl.dev/blog/how-replit-uses-firecrawl-to-power-ai-agents,Built Replit Agent v1/v2; named lead engineer in Firecrawl+Replit case study,High
Lance Martin,Applied Eng,"Member of Technical Staff, Anthropic (prev LangChain)","San Francisco, CA",https://www.linkedin.com/in/lance-martin-64a33b5/,https://www.latent.space/podcast,Latent Space Context Engineering for Agents; built LangChain Academy and ambient agents course,High
Takuma Yamaguchi,Applied Eng,"VP of Engineering, Mercari US","Tokyo, Japan",https://www.linkedin.com/in/kumon-takuma-yamaguchi/,https://about.mercari.com/en/about/leadership/,Mercari leadership; PhD CV/ML; 10+ yrs production ML and engineering management,High
Rintaro Miyamoto,Applied Eng,"Machine Learning Engineer, Mercari (Customer Support ML)","Tokyo, Japan",https://www.linkedin.com/in/rintaro-miyamoto-992a2a121/,https://engineering.mercari.com/en/,Production ML engineer optimizing Mercari customer-support operations; ex-Rakuten data scientist,Medium
Sungju Kim,Applied Eng,"AI Research Engineer / Tech Lead, NAVER Cloud (HyperCLOVA X)","Seoul, South Korea",https://www.linkedin.com/in/sungju-kim-3b0406b0/,https://arxiv.org/html/2404.01954v1,Listed contributor on HyperCLOVA X tech report; tech-leads voice/AudioLLM and Copilot tooling at NAVER,High
Nick Buhrer,Applied Eng,"Lead ML Engineer, Grab",Singapore,https://sg.linkedin.com/in/nick-b%C3%BChrer,https://www.grab.careers/en/teams/engineering/,Lead ML engineer at Grab Singapore (computer vision / RL applied to ride-hail systems),Medium
Pratyush Kumar,Applied Eng/Founder,"Co-founder & CEO, Sarvam AI (prev AI4Bharat, MSR)","Bengaluru, India",https://in.linkedin.com/in/pratyush-kumar-8844a8a3,https://www.sarvam.ai/about-us,Co-founder Sarvam AI building India sovereign LLM stack (Sarvam-30B/105B); ex-AI4Bharat lead,High
Chandra Khatri,Applied Eng/Founder,"Head of AI, Krutrim (Ola)","Bengaluru, India",https://www.linkedin.com/in/ckhatri,https://itbrief.in/story/krutrim-unveils-india-s-first-agentic-ai-assistant-kruti,Founding Head of AI at Krutrim; led launch of Kruti agentic assistant; ex-Uber AI / Amazon Alexa,High
Hwijeen Ahn,Applied Eng,"Member of Technical Staff, Contextual AI (ex-NAVER LLM pretraining)","San Francisco, CA",https://www.linkedin.com/in/hwijeenahn/,https://contextual.ai/research,Contextual AI MTS; previously pretrained LLMs at NAVER and built LLM apps at Apple,Medium
Takuya Akiba,Research,Staff Research Scientist at Sakana AI,"Tokyo, Japan",https://www.linkedin.com/in/takiba/,https://sakana.ai/evolutionary-model-merge/,Co-author of Optuna and lead of Sakana AI Evolutionary Model Merge paper (Nature Machine Intelligence 2024),High
Llion Jones,Founder/Research,Co-founder & AI Research Scientist at Sakana AI,"Tokyo, Japan",https://jp.linkedin.com/in/llion-jones-9ab3064b,https://sakana.ai/,Co-author of the Transformer paper Attention Is All You Need; co-founded Tokyo-based Sakana AI in 2023,High
Kuniyuki Takahashi,Research/Leadership,Engineering Manager & Tech Lead (VLM + Robotics) at Preferred Networks,"Tokyo, Japan",https://www.linkedin.com/in/kuniyukitakahashi/,https://scholar.google.co.jp/citations?user=ruTyZvgAAAAJ&hl=ja,ICRA Best Paper on HRI (2018) for Interactively Picking Real-World Objects with Unconstrained Spoken Language; leads PFN VLM team,High
Junichiro Iwasawa,Applied Eng,Tech Lead (LLM Applications) at Preferred Networks,"Tokyo, Japan",https://jp.linkedin.com/in/junichiro-iwasawa-875b37130,https://tech.preferred.jp/ja/research_areas/,"Tech lead for PFN enterprise LLM solutions in finance/healthcare/government, deploying Plamo-based applications",Medium
Takashi Shibuya,Research/Leadership,Staff Research Scientist / Senior Manager at Sony AI,"Tokyo, Japan",https://www.linkedin.com/in/takashi-shibuya-7596a439/,https://ai.sony/people/Takashi-Shibuya/,"Sony AI music team senior researcher on generative audio (diffusion source separation, music generation at ICASSP/ICML)",High
Dongsoo Lee,Research,Research Lead at NAVER Cloud (HyperCLOVA X),"Seoul, South Korea",https://www.linkedin.com/in/dongsoo-lee-45028017/,https://arxiv.org/abs/2404.01954,Leads model compression / quantization for HyperCLOVA X; co-author of HyperCLOVA X technical report,High
Woonhyuk Baek,Research,Applied AI Research Scientist at Kakao Brain,"Seoul, South Korea",https://kr.linkedin.com/in/wbaek/en,https://github.com/kakaobrain,Computer vision / multimodal research scientist at Kakao Brain contributing to coyo-700m dataset and Karlo image model,High
Minsoo Khang,Research,Research Scientist at Upstage,"Seoul, South Korea",https://www.linkedin.com/in/khangminsoo/,https://www.upstage.ai/about,Document AI / OCR researcher at Upstage working on Solar LLM family and document parsing engine,Medium
Aiden Lee,Founder/Research,Co-founder & CTO at Twelve Labs,"Seoul, South Korea",https://www.linkedin.com/in/aidensjlee/,https://www.twelvelabs.io/blog/twelve-labs-is-building-ai-that-can-analyze-and-search-through-videos,Co-founded Twelve Labs (2020); leads engineering for Marengo / Pegasus multimodal video-understanding foundation models,High
Anoop Kunchukuttan,Research,Co-lead at AI4Bharat & Researcher at Microsoft,"Bengaluru / IIT Madras, India",https://in.linkedin.com/in/anoopkunchukuttan,https://anoopkunchukuttan.github.io/,"Co-founder of AI4Bharat and lead author of IndicTrans2 (TMLR 2023), open MT covering all 22 scheduled Indian languages",High
Vivek Raghavan,Founder/Research,Co-founder at Sarvam AI,"Bengaluru, India",https://in.linkedin.com/in/vivek-raghavan-16005424,https://www.sarvam.ai/about-us,Co-founded Sarvam AI; prior architect of Aadhaar and Digital Public Infrastructure,High
Sunayana Sitaram,Research/Leadership,Principal Researcher at Microsoft Research India,"Bengaluru, India",https://www.linkedin.com/in/sunayana/,https://www.microsoft.com/en-us/research/people/susitara/,Led MEGA and MEGAVERSE multilingual LLM benchmarks (83 languages) and Pariksha Indic LLM eval,High
Kalika Bali,Research,Senior Principal Researcher at Microsoft Research India,"Bengaluru, India",https://in.linkedin.com/in/kalika-bali-b72bab9,https://www.microsoft.com/en-us/research/people/kalikab/,Two decades of low-resource language NLP at MSR India; TED speaker; co-led Project Karya partnership,High
Balaji Vasan Srinivasan,Research/Leadership,Principal Scientist at Adobe Research India,"Bengaluru, India",https://in.linkedin.com/in/balajivasan,https://research.adobe.com/news/researcher-spotlight-balaji-vasan-srinivasan/,First external hire at Adobe Research Bangalore (2011); leads NLG / multimodal content synthesis for Adobe authoring,High
Lin Ma,Research,Principal Researcher at Tencent AI Lab,"Shenzhen, China",https://www.linkedin.com/in/lin-ma-268b1035/,https://forestlinma.com/,Principal researcher at Tencent AI Lab on vision-language pretraining and video understanding; 15k+ Scholar citations,High
Xing Xie,Research/Leadership,Senior Principal Research Manager / Assistant MD at Microsoft Research Asia,"Beijing, China",https://www.linkedin.com/in/xingx/,https://www.microsoft.com/en-us/research/people/xingx/,Leads MSRA social computing group; ACM/IEEE Fellow; recent work on LLM evaluation and value alignment,High
Lanqing Li,Research,Senior Researcher at Tencent AI Lab,"Shenzhen, China",https://www.linkedin.com/in/lanqing-li-%EF%BC%88%E6%9D%8E%E8%93%9D%E9%9D%92%EF%BC%89-49209a83/,https://lanqingli1993.github.io/,Drug-discovery and offline RL researcher at Tencent AI Lab; co-author of TencentPretrain and drug-design benchmarks,Medium
Yangqiu Song,Research,Associate Professor at HKUST (CSE),Hong Kong SAR,https://www.linkedin.com/in/yqsong/,https://www.cse.ust.hk/~yqsong/,"Leads HKUST Knowledge & Language Group; widely-cited work on knowledge graphs, commonsense reasoning (ATOMIC-10X, CANDLE)",High
Stephen Wan,Research/Leadership,Principal Research Scientist & Team Leader at CSIRO Data61,"Sydney, Australia",https://www.linkedin.com/in/stephen-wan-a489631/,https://people.csiro.au/W/S/Stephen-Wan,Leads Data61 NLP/IR team; built SciLire scientific dataset tooling and Accurait contract-extraction product,High
Aengus Tran,Founder/Research,Co-founder & CEO at Harrison.ai,"Sydney, Australia",https://au.linkedin.com/in/aengustran,https://harrison.ai/about-us/,"Co-founded Harrison.ai (2018); medical AI products (Annalise CXR, Franklin pathology) deployed at 1000+ clinical sites",High
Shih-Cheng Huang,Applied Eng,LLM Research Scientist at Appier,"Taipei, Taiwan",https://www.linkedin.com/in/andyh0913/,https://scholar.google.com/citations?user=RLMiaZUAAAAJ&hl=en,Works on Traditional Chinese LLM alignment at Appier; previously TAIDE LLM engineer at NARLabs building national Traditional Chinese LLM,High
Tuan Anh Nguyen,Applied Eng,Senior AI Research Engineer at VinAI Research,"Hanoi, Vietnam",https://vn.linkedin.com/in/tuananh2193,https://www.vinai.io/,VinAI senior engineer on 3D object detection / tracking for AD; contributions to PhoBERT/PhoGPT Vietnamese model ecosystem,Medium
Pittawat Taveekitworachai,Research,Research Scientist (Typhoon Team) at SCB 10X,"Bangkok, Thailand",https://th.linkedin.com/in/pittawat-taveekitworachai,https://medium.com/scb10x/introducing-typhoon-t1-research-preview-towards-state-of-the-art-open-reasoning-models-4feed46fabf3,Co-author of Typhoon 2 and Typhoon T1 reasoning LLM technical reports; SCB 10X inference-time compute research,Medium
Samuel Cahyawijaya,Research,NLP Research Scientist & co-lead IndoNLP,Jakarta / Hong Kong,https://www.linkedin.com/in/samuelcahyawijaya/,https://samuelcahyawijaya.github.io/,"Co-initiated IndoNLP community and led NusaCrowd (137 datasets across Indonesian languages, ACL 2023 Findings)",High
Ralph Vincent Regalado,Founder/Research,Co-founder & former CEO of Senti AI; Chief Scientist at Kollab,"Manila, Philippines",https://www.linkedin.com/in/rvregalado/,https://senti.ai/about-us/,Co-founded Senti AI (Philippines first Google Cloud ML-specialized partner); built Senti Balagtas NLP model for Philippine languages,High
Vera Demberg,Research,Professor of CS and Computational Linguistics at Saarland University,"Saarbrücken, Germany",https://de.linkedin.com/in/vera-demberg-18a9811,https://www.uni-saarland.de/lehrstuhl/demberg/members/verademberg.html,ERC Starting Grant holder for Individualized Interaction in Discourse; Max Planck Fellow at MPI for Informatics on cognitive models of language,High
Sebastian Padó,Research,Chair of Theoretical Computational Linguistics at University of Stuttgart IMS,"Stuttgart, Germany",https://www.linkedin.com/in/sebastianpado/,https://www.ims.uni-stuttgart.de/en/institute/team/Pado-00001/,Lexical/distributional semantics and event extraction; co-supervised AIPHES doctoral training group,High
Anette Frank,Research,Chair of Computational Linguistics at Heidelberg University,"Heidelberg, Germany",https://de.linkedin.com/in/anette-frank-4aaa4955,https://www.cl.uni-heidelberg.de/nlpgroup/person/frank,ACL Fellow 2021 for semantics- and discourse-oriented NLP; leads multimodal commonsense NLU group at HD NLP,High
Daniel Cremers,Research,Chair of Computer Vision and AI at TU Munich,"Munich, Germany",https://de.linkedin.com/in/daniel-cremers,https://cvg.cit.tum.de/members/cremers,Leibniz Prize 2016; CVPR Best Paper; lead of DSO and LSD-SLAM SLAM lineage out of TUM CVG,High
Stefanie Jegelka,Research,Humboldt Professor (Foundations of Deep Neural Networks) at TU Munich,"Munich, Germany",https://www.linkedin.com/in/stefanie-jegelka-5223152a,https://www.professoren.tum.de/en/jegelka-stefanie,Humboldt Professorship 2022 for theory of GNN expressivity; on leave from MIT EECS,High
Daniel Rückert,Research,Alexander von Humboldt Professor for AI in Medicine at TU Munich,"Munich, Germany",https://www.linkedin.com/in/daniel-rueckert-3502a71/,https://www.professoren.tum.de/en/rueckert-daniel,Leibniz Prize 2025 for AI-assisted medical imaging; Director of MCML and Institute for AI in Medicine,High
Sami Haddadin,Research/Leadership,VP for Research at MBZUAI; founding director of TUM MIRMI (2018-2025),"Munich, Germany / Abu Dhabi",https://ae.linkedin.com/in/sami-haddadin-b5a46010a,https://mbzuai.ac.ae/study/faculty/sami-haddadin/,Leibniz Prize 2019; co-founder of Franka Emika; Panda robot arm in Time's 50 Best Inventions 2018,High
Matthias Hein,Research,Bosch endowed Professor of Machine Learning at University of Tübingen,"Tübingen, Germany",https://www.linkedin.com/in/matthias-hein-414b8b50/,https://uni-tuebingen.de/en/fakultaeten/mathematisch-naturwissenschaftliche-fakultaet/fachbereiche/informatik/lehrstuehle/maschinelles-lernen/team/prof-dr-matthias-hein/,Co-author of AutoAttack (ICML 2020) and RobustBench maintainer; ELLIS Fellow,High
Wieland Brendel,Research,Hector Endowed Fellow at ELLIS Institute Tübingen; MPI-IS Group Leader,"Tübingen, Germany",https://www.linkedin.com/in/wieland-brendel-a1123b14b/,https://institute-tue.ellis.eu/en/people/wbrendel,2023 German Pattern Recognition Award for robust/interpretable vision; co-founder layer7.ai (maddox.ai),High
Bastian Leibe,Research,Professor and Head of Computer Vision Group at RWTH Aachen,"Aachen, Germany",https://www.linkedin.com/in/bastian-leibe-76b515/,https://www.vision.rwth-aachen.de/person/1/,ERC Starting Grant CV-Super for first-person scene understanding; CVPR Best Paper 2007,High
Stefan Wermter,Research,Professor and Head of Knowledge Technology Group at University of Hamburg,"Hamburg, Germany",https://www.linkedin.com/in/stefan-wermter/,https://www.inf.uni-hamburg.de/en/inst/ab/wtm/people/wermter.html,President of ENNS; PI of TRR Crossmodal Learning on neurocognitive robotics,High
Fabian Theis,Research/Leadership,Director of Computational Health Center at Helmholtz Munich; Chair at TUM,"Munich, Germany",https://de.linkedin.com/in/fabian-theis-4b4b10173,https://www.helmholtz-munich.de/en/icb/fabian-theis,Co-creator of scanpy/scverse single-cell ecosystem; scientific director of Helmholtz AI cooperation unit,High
Tamim Asfour,Research,Professor of Humanoid Robotics at KIT (H2T Lab),"Karlsruhe, Germany",https://de.linkedin.com/in/tamim-asfour-829979a,https://h2t.anthropomatik.kit.edu/english/,Developer of the ARMAR humanoid robot family; spokesperson of the Robotics Institute Germany,High
